MIN;RADI
350;0.98
352;0.24
360;1.86
361;3.03
362;5.24
363;5.53
364;6.12
365;7.59
366;6.56
367;8.62
368;11.56
369;10.09
370;12
371;12.74
372;13.33
373;13.47
374;15.38
375;17.44
376;17.59
377;20.53
378;19.65
379;19.94
380;23.18
381;21.85
382;22.15
383;24.2
384;21.26
385;20.09
386;22.59
387;21.26
388;20.38
389;20.53
390;22.88
391;25.23
392;24.65
393;22.73
394;23.32
395;24.5
396;26.85
397;25.38
398;28.47
399;28.91
400;27.44
401;27.59
402;28.62
403;27.59
404;29.06
405;32.14
406;31.56
407;31.26
408;33.61
409;32.88
410;35.53
411;33.03
412;35.67
413;38.76
414;39.2
415;42.29
416;41.26
417;42.14
418;45.52
419;46.41
420;48.91
421;53.76
422;54.64
423;56.26
424;58.46
425;57.14
426;60.81
427;61.55
428;65.67
429;66.25
430;69.93
431;73.16
432;74.93
433;74.34
434;72.28
435;74.63
436;80.66
437;81.4
438;90.37
439;94.92
440;99.04
441;227.83
442;104.04
443;90.95
444;84.48
445;81.25
446;71.99
447;69.49
448;71.69
449;70.52
450;70.96
451;76.25
452;80.66
453;79.19
454;76.69
455;76.69
456;80.22
457;84.48
458;87.28
459;93.16
460;89.92
461;93.6
462;96.1
463;106.54
464;117.71
465;182.99
466;353.39
467;363.09
468;372.65
469;369.86
470;373.53
471;387.65
472;392.06
473;395.44
474;399.12
475;397.5
476;410.88
477;411.02
478;410.29
479;422.05
480;426.76
481;430.43
482;435.14
483;449.25
484;451.6
485;459.84
486;462.04
487;469.69
488;473.8
489;471.16
490;480.71
491;489.83
492;497.33
493;497.33
494;502.33
495;508.5
496;512.03
497;513.79
498;520.85
499;523.94
500;520.7
501;525.56
502;530.7
503;538.05
504;550.55
505;554.08
506;556.28
507;554.22
508;562.02
509;552.9
510;564.37
511;571.72
512;573.19
513;583.92
514;586.28
515;573.48
516;601.86
517;600.24
518;601.13
519;611.86
520;624.94
521;626.41
522;626.56
523;636.26
524;650.23
525;649.64
526;652.44
527;649.35
528;654.94
529;658.76
530;655.97
531;665.96
532;658.32
533;672.73
534;668.17
535;681.99
536;690.22
537;695.37
538;728.15
539;745.5
540;749.77
541;743.89
542;729.62
543;720.36
544;726.39
545;732.12
546;734.62
547;739.77
548;757.71
549;792.84
